id,source,source_relative_path,category,type,extension,extraction_method,chunk_id,total_chunks,date_ajout,text_len,text
D01 - APEM - Digitalisation Usine AFD V1.0.docx_0,D01 - APEM - Digitalisation Usine AFD V1.0.docx,AFD/AFD APEM/D01 - APEM - Digitalisation Usine AFD V1.0.docx,AFD,AFD APEM,.docx,docx_text,0,10,2026-06-12T15:13:44.134522,659,"Tableau des Modifications
Objet
Le présent document établit une analyse fonctionnelle détaillée des adaptations/extensions citées du progiciel MOMsoft Smart Factory. Ce document constitue l’élément d’entrée unique pour la réalisation technique des adaptations/extensions indiquées. Une fois validée par le client, le présent document remplace tous les autres éléments portant sur le même objet et liant MOMsoft au client. Rappel Exigences Clients
Le présent document établit une analyse fonctionnelle de manière détaillée les exigences suivantes. La liste détaillée et mise à jour des exigences du projet sont définies dans le journal des exigences du projet."
D01 - APEM - Digitalisation Usine AFD V1.0.docx_1,D01 - APEM - Digitalisation Usine AFD V1.0.docx,AFD/AFD APEM/D01 - APEM - Digitalisation Usine AFD V1.0.docx,AFD,AFD APEM,.docx,docx_text,1,10,2026-06-12T15:13:44.134522,554,"et mise à jour des exigences du projet sont définies dans le journal des exigences du projet. Indentification des Gaps
La liste suivante définit les écarts/adaptations/suppression par rapport aux fonctionnalités existantes
Analyse Détaillée Gap : G01 :
Existant
Ce gap touche l’intégration des OF depuis D365 sous Smart Factory / Accueil / Intégration. Modifications
Synchronisation des OF ferme entre D365 et Smart Factory via un web service. L'intégration s'effectue selon la maquette des données suivante :
Dépôt : Usines de production concernées (ex."
D01 - APEM - Digitalisation Usine AFD V1.0.docx_2,D01 - APEM - Digitalisation Usine AFD V1.0.docx,AFD/AFD APEM/D01 - APEM - Digitalisation Usine AFD V1.0.docx,AFD,AFD APEM,.docx,docx_text,2,10,2026-06-12T15:13:44.134522,603,"s'effectue selon la maquette des données suivante :
Dépôt : Usines de production concernées (ex. : Tunis, Zaghouan, France, …)
Code OF : Référence de l’OF
Référence commande : Référence de la commande
Numéro article : Référence du produit
Quantité objective : Quantité à produire
Date de début planifiée : Date et heure d’exécution planifiée
Date de fin planifiée : Date et heure de clôture planifiée
La synchronisation des OF entre D365 et Smart Factory se fait via le webservice :
‘API’ : ‘Port’
Exigences techniques :
Dans D365
Créer et exposer une API REST retournant la liste des OF au format JSON."
D01 - APEM - Digitalisation Usine AFD V1.0.docx_3,D01 - APEM - Digitalisation Usine AFD V1.0.docx,AFD/AFD APEM/D01 - APEM - Digitalisation Usine AFD V1.0.docx,AFD,AFD APEM,.docx,docx_text,3,10,2026-06-12T15:13:44.134522,828,"techniques :
Dans D365
Créer et exposer une API REST retournant la liste des OF au format JSON. Exemple:
[
{
""Warehouse"": ""SACEMA"",
""Work_order_number"": OF2131PRX,
""Order_ref"": ""CMD004"",
""Item_number"": ""PROD-002"",
""Target_quantity"": 10000"",
""Planned_start_date"": ""10/10/2025 10:30"",
""Planned_end_date"": ""12/10/2025 10:30""
},
{
""Warehouse"": ""SACEMA"",
""Work_order_number "": OF2131PRX,
""Order_ref"": ""CMD044"",
""Item_number "": ""PROD-001"",
"" Target_quantity "": 12000"",
"" Planned_start_date "": ""12/10/2025 10:30"",
"" Planned_end_date "": ""13/10/2025 12:30""
}
]
Sécurité : si le système ERP utilise des mesures comme API key, authentification ou autorisation, créer des clés spécifiques pour Smart Factory afin d’éviter tout accès non autorisé. L’adresse IP et le port de l’ERP doivent être accessibles depuis la VM serveur Smart Factory."
D01 - APEM - Digitalisation Usine AFD V1.0.docx_4,D01 - APEM - Digitalisation Usine AFD V1.0.docx,AFD/AFD APEM/D01 - APEM - Digitalisation Usine AFD V1.0.docx,AFD,AFD APEM,.docx,docx_text,4,10,2026-06-12T15:13:44.134522,866,"L’adresse IP et le port de l’ERP doivent être accessibles depuis la VM serveur Smart Factory. Accès VPN : Il est recommandé d’accéder à l’API via VPN pour les tests et le débogage. Dans Smart Factory
Lire la liste des OF via une requête GET depuis le webservice, sans accès ni action sur l’ERP. Règles de Gestion
Scénarii de Test
Analyse Détaillée Gap : G02 :
Existant
Ce gap touche l’intégration des données de production depuis Smart Factory vers D365 sous Smart Factory / Accueil / Intégration. Modifications
Synchronisation des données de production entre Smart Factory et D365 via un web service. L'intégration s'effectue selon la maquette des données suivante :
Dépôt : Usines de production concernées (ex. : Tunis, Zaghouan, France, …). Code OF : Référence de l’OF. Numéro article : Référence du produit. Numéro de lot : Numéro de lot associé à la production."
D01 - APEM - Digitalisation Usine AFD V1.0.docx_5,D01 - APEM - Digitalisation Usine AFD V1.0.docx,AFD/AFD APEM/D01 - APEM - Digitalisation Usine AFD V1.0.docx,AFD,AFD APEM,.docx,docx_text,5,10,2026-06-12T15:13:44.134522,811,"l’OF. Numéro article : Référence du produit. Numéro de lot : Numéro de lot associé à la production. Quantité correcte : Quantité conforme, validée par contrôle qualité. Quantité erronée : Quantité non conforme ou rejetée. La synchronisation des données de production entre Smart Factory et D365 se fait via le webservice :
API : Port
Exigences techniques :
Dans Smart Factory
Développer et exposer une API REST fournissant au format JSON les données de production de chaque OF, sans accès ni interaction avec l’ERP. Exemple:
[
{
"" Warehouse"": ""SACEMA"",
"" Work_order_number"": OF2131PRX,
"" Item_number "": ""PROD-002"",
""Lot_number"": ""[REDACTED_PHONE]"",
""Accepted_quantity"": ""998"",
""Rejected_quantity"": ""2"",
‘’Closed’’: True,
}
]
Dans D365
Lire avec une requête GET la liste des données de production pour chaque OF."
D01 - APEM - Digitalisation Usine AFD V1.0.docx_6,D01 - APEM - Digitalisation Usine AFD V1.0.docx,AFD/AFD APEM/D01 - APEM - Digitalisation Usine AFD V1.0.docx,AFD,AFD APEM,.docx,docx_text,6,10,2026-06-12T15:13:44.134522,890,"True,
}
]
Dans D365
Lire avec une requête GET la liste des données de production pour chaque OF. Règles de Gestion
Scénarii de Test
Textes et Libellés
Le tableau suivant groupe l’ensemble de textes et de libellés ajoutés à Smart Factory à partir de cette demande. Prière de les copier et de les coller aux bons emplacements. Solution Smart Factory APEM Analyse Fonctionnelle Détaillée
Intégration Smart Factory – D365
Classification : | Confidentiel - Distribution Limitée aux équipes projets
Référence : | AFD/D01
Auteur(s) : | Moatez Derbala
Destinataires : | Moez Kouki Ghassen Arfeoui Béchir Dardour
Copies à : | Mahdi Besbes Siwar Abbes
Version | Date | Modifications | Auteur(s) | Vérificateur(s) | Approbateur
V0.9 | 01/10/2025 | Version initiale | Moatez D. | Mahdi B. | N/A
ID | Exigence | Description
D01-M003 | Intégration des OF depuis D365 vers Smart Factory via un webservice."
D01 - APEM - Digitalisation Usine AFD V1.0.docx_7,D01 - APEM - Digitalisation Usine AFD V1.0.docx,AFD/AFD APEM/D01 - APEM - Digitalisation Usine AFD V1.0.docx,AFD,AFD APEM,.docx,docx_text,7,10,2026-06-12T15:13:44.134522,821,"| Description
D01-M003 | Intégration des OF depuis D365 vers Smart Factory via un webservice. | Lecture des OF fermes exposés par le webservice et récupération dans Smart Factory. D01-M008 | Retour de données de Smart Factory vers D365 via un webservice. | Lecture des données de production du webservice et récupération dans D365. ID | Type | Description
D01.G001 | Nouveauté | Intégration des OF depuis D365 vers Smart Factory via un webservice. D01.G002 | Nouveauté | Intégration des données de production depuis Smart Factory vers D365 via un webservice. ID | Type | Description
D01.G001.R01 | Nouveauté | Les OF exposés via le Webservice seront intégrés dans Smart factory. D01.G001.R02 | Nouveauté | L’OF possédant des données manquantes par rapport à la maquette des données ne sera pas intégré dans Smart Factory."
D01 - APEM - Digitalisation Usine AFD V1.0.docx_8,D01 - APEM - Digitalisation Usine AFD V1.0.docx,AFD/AFD APEM/D01 - APEM - Digitalisation Usine AFD V1.0.docx,AFD,AFD APEM,.docx,docx_text,8,10,2026-06-12T15:13:44.134522,851,"données manquantes par rapport à la maquette des données ne sera pas intégré dans Smart Factory. ID | Type | Description
D01.G001.T01 | Nouveauté | S'assurer que les OF disposant de données complètes, conformément à la maquette, sont correctement intégrés dans Smart Factory. D01.G001.T02 | Nouveauté | Vérifier que les OF « planifiés » existants dans Smart Factory sont mis à jour en cas de modification. D01.G001.T03 | Nouveauté | Vérifier que les OF déjà intégrés et en cours de production dans Smart Factory ne sont pas modifiés lors de la prochaine intégration. ID | Type | Description
D01.G002.R01 | Nouveauté | Les données de production exposées via le webservice seront intégrées dans D365. D01.G002.R02 | Nouveauté | Les données de production comportant des informations manquantes par rapport à la maquette ne seront pas intégrées dans D365."
D01 - APEM - Digitalisation Usine AFD V1.0.docx_9,D01 - APEM - Digitalisation Usine AFD V1.0.docx,AFD/AFD APEM/D01 - APEM - Digitalisation Usine AFD V1.0.docx,AFD,AFD APEM,.docx,docx_text,9,10,2026-06-12T15:13:44.134522,729,"comportant des informations manquantes par rapport à la maquette ne seront pas intégrées dans D365. D01.G002.R03 | Nouveauté | Les données de production d’un OF peuvent être exposées plusieurs fois. D01.G002.R04 | Nouveauté | Les données de production de chaque OF récupérées depuis Smart Factory via le webservice seront cumulées. Exemple : 1ᵉʳ intégration : Qte correcte = 300, Qte erronée = 0 2ᵉ intégration : Qte correcte = 500, Qte erronée = 100 Totaux : Qte correcte = 800, Qte erronée = 100 »
ID | Type | Description
D01.G002.T01 | Nouveauté | Vérifier que les données de production complètes sont bien intégrées dans D365. Gap | Texte en français | Texte en anglais | Description
Analyse Fonctionnelle Détaillée : AFD/D01"
