timestamp;scope;name;total_files;indexed_files;missing_files;coverage_pct
2026-06-12T15:14:08.519697;overall;all;161;155;6;96.3%
2026-06-12T15:14:08.519697;category;AFD;65;62;3;95.4%
2026-06-12T15:14:08.519697;category;CdC;9;7;2;77.8%
2026-06-12T15:14:08.519697;category;Exigences;80;80;0;100.0%
2026-06-12T15:14:08.519697;category;Guide;7;6;1;85.7%
2026-06-12T15:14:08.519697;extension;.csv;5;2;3;40.0%
2026-06-12T15:14:08.519697;extension;.docx;45;45;0;100.0%
2026-06-12T15:14:08.519697;extension;.html;1;1;0;100.0%
2026-06-12T15:14:08.519697;extension;.jrxml;4;4;0;100.0%
2026-06-12T15:14:08.519697;extension;.pdf;17;14;3;82.4%
2026-06-12T15:14:08.519697;extension;.png;7;7;0;100.0%
2026-06-12T15:14:08.519697;extension;.xlsx;82;82;0;100.0%
